Condition	time point	p-value	t-value
low	-0.151171875	0.010000000000000009	2.33888392484682
low	0.21015625	0.026666666666666727	1.9398891657341626
low	0.219921875	0.0	inf
low	0.2296875	0.0	inf
low	0.239453125	0.0033333333333332993	2.7321419372217384
low	0.26875	0.036666666666666736	1.797071423179137
low	0.278515625	0.013333333333333308	2.227371488366429
low	0.3078125	0.046666666666666745	1.6834417068750733
low	0.48359375	0.030000000000000027	1.8879558102266485
low	0.60078125	0.020000000000000018	2.0627472420429416
low	0.610546875	0.013333333333333308	2.227371488366429
low	0.6984375	0.00666666666666671	2.4895647421707716
low	0.708203125	0.013333333333333308	2.227371488366429
low	0.727734375	0.040000000000000036	1.756656458005156
low	0.7375	0.030000000000000027	1.8879558102266485
low	0.766796875	0.01666666666666672	2.1379265281322697
low	0.786328125	0.033333333333333326	1.840629407786611
low	0.805859375	0.036666666666666736	1.797071423179137
low	0.815625	0.01666666666666672	2.1379265281322697
low	0.87421875	0.043333333333333335	1.718905160438891
low	0.962109375	0.026666666666666727	1.9398891657341626
low	0.99140625	0.030000000000000027	1.8879558102266485
low	1.001171875	0.020000000000000018	2.0627472420429416
low	1.0109375	0.036666666666666736	1.797071423179137
