Condition	time point	p-value	t-value
low	-0.12187500000000001	0.033333333333333326	1.840629407786611
low	0.02460937499999999	0.020000000000000018	2.0627472420429416
low	0.551953125	0.043333333333333335	1.718905160438891
low	0.669140625	0.0033333333333332993	2.7321419372217384
low	0.79609375	0.030000000000000027	1.8879558102266485
low	0.83515625	0.00666666666666671	2.4895647421707716
low	0.844921875	0.033333333333333326	1.840629407786611
low	0.87421875	0.033333333333333326	1.840629407786611
low	0.903515625	0.020000000000000018	2.0627472420429416
low	0.942578125	0.0033333333333332993	2.7321419372217384
low	0.981640625	0.036666666666666736	1.797071423179137
low	1.001171875	0.030000000000000027	1.8879558102266485
low	1.03046875	0.030000000000000027	1.8879558102266485
low	1.040234375	0.043333333333333335	1.718905160438891
low	1.059765625	0.013333333333333308	2.227371488366429
low	1.06953125	0.026666666666666727	1.9398891657341626
low	1.079296875	0.013333333333333308	2.227371488366429
