Condition	time point	p-value	t-value
correct	-0.170703125	0.0	inf
correct	-0.1609375	0.046666666666666745	1.6834417068750733
correct	0.014843749999999989	0.026666666666666727	1.9398891657341626
correct	0.17109375	0.023333333333333317	1.997592229195553
correct	0.180859375	0.0	inf
correct	0.190625	0.0	inf
correct	0.200390625	0.0	inf
correct	0.21015625	0.0	inf
correct	0.219921875	0.0	inf
correct	0.2296875	0.043333333333333335	1.718905160438891
correct	0.239453125	0.023333333333333317	1.997592229195553
correct	0.26875	0.043333333333333335	1.718905160438891
correct	0.278515625	0.040000000000000036	1.756656458005156
correct	0.317578125	0.023333333333333317	1.997592229195553
correct	0.32734375	0.023333333333333317	1.997592229195553
correct	0.337109375	0.023333333333333317	1.997592229195553
correct	0.473828125	0.043333333333333335	1.718905160438891
correct	0.52265625	0.040000000000000036	1.756656458005156
correct	0.532421875	0.046666666666666745	1.6834417068750733
correct	0.5421875	0.040000000000000036	1.756656458005156
correct	0.58125	0.00666666666666671	2.4895647421707716
correct	0.591015625	0.013333333333333308	2.227371488366429
correct	0.60078125	0.040000000000000036	1.756656458005156
correct	0.630078125	0.033333333333333326	1.840629407786611
correct	0.63984375	0.01666666666666672	2.1379265281322697
correct	0.649609375	0.013333333333333308	2.227371488366429
correct	0.659375	0.020000000000000018	2.0627472420429416
correct	0.669140625	0.010000000000000009	2.33888392484682
correct	0.825390625	0.033333333333333326	1.840629407786611
correct	0.883984375	0.033333333333333326	1.840629407786611
correct	0.89375	0.013333333333333308	2.227371488366429
correct	0.923046875	0.013333333333333308	2.227371488366429
correct	0.971875	0.033333333333333326	1.840629407786611
correct	1.001171875	0.020000000000000018	2.0627472420429416
correct	1.020703125	0.033333333333333326	1.840629407786611
correct	1.03046875	0.00666666666666671	2.4895647421707716
correct	1.040234375	0.010000000000000009	2.33888392484682
correct	1.05	0.00666666666666671	2.4895647421707716
correct	1.059765625	0.010000000000000009	2.33888392484682
correct	1.06953125	0.030000000000000027	1.8879558102266485
correct	1.079296875	0.046666666666666745	1.6834417068750733
correct	1.0890625	0.040000000000000036	1.756656458005156
correct	1.098828125	0.013333333333333308	2.227371488366429
