Condition	time point	p-value	t-value
low	-0.151171875	0.036666666666666736	1.797071423179137
low	-0.04375000000000001	0.040000000000000036	1.756656458005156
low	-0.03398437500000001	0.030000000000000027	1.8879558102266485
low	0.07343749999999999	0.036666666666666736	1.797071423179137
low	0.13203125	0.01666666666666672	2.1379265281322697
low	0.161328125	0.033333333333333326	1.840629407786611
low	0.17109375	0.036666666666666736	1.797071423179137
low	0.21015625	0.0033333333333332993	2.7321419372217384
low	0.219921875	0.0	inf
low	0.2296875	0.0	inf
low	0.239453125	0.0	inf
low	0.24921875	0.020000000000000018	2.0627472420429416
low	0.258984375	0.020000000000000018	2.0627472420429416
low	0.26875	0.010000000000000009	2.33888392484682
low	0.278515625	0.0033333333333332993	2.7321419372217384
low	0.28828125	0.0033333333333332993	2.7321419372217384
low	0.298046875	0.0	inf
low	0.3078125	0.010000000000000009	2.33888392484682
low	0.317578125	0.0033333333333332993	2.7321419372217384
low	0.32734375	0.00666666666666671	2.4895647421707716
low	0.337109375	0.00666666666666671	2.4895647421707716
low	0.346875	0.010000000000000009	2.33888392484682
low	0.356640625	0.0033333333333332993	2.7321419372217384
low	0.36640625	0.00666666666666671	2.4895647421707716
low	0.376171875	0.01666666666666672	2.1379265281322697
low	0.3859375	0.010000000000000009	2.33888392484682
low	0.395703125	0.010000000000000009	2.33888392484682
low	0.40546875	0.030000000000000027	1.8879558102266485
low	0.415234375	0.01666666666666672	2.1379265281322697
low	0.425	0.00666666666666671	2.4895647421707716
low	0.434765625	0.00666666666666671	2.4895647421707716
low	0.44453125	0.0	inf
low	0.454296875	0.0	inf
low	0.4640625	0.013333333333333308	2.227371488366429
low	0.473828125	0.01666666666666672	2.1379265281322697
low	0.48359375	0.01666666666666672	2.1379265281322697
low	0.52265625	0.030000000000000027	1.8879558102266485
low	0.532421875	0.010000000000000009	2.33888392484682
low	0.5421875	0.010000000000000009	2.33888392484682
low	0.551953125	0.01666666666666672	2.1379265281322697
low	0.649609375	0.036666666666666736	1.797071423179137
low	0.786328125	0.033333333333333326	1.840629407786611
low	0.79609375	0.013333333333333308	2.227371488366429
low	0.805859375	0.01666666666666672	2.1379265281322697
low	0.815625	0.01666666666666672	2.1379265281322697
low	0.825390625	0.043333333333333335	1.718905160438891
low	0.83515625	0.010000000000000009	2.33888392484682
low	0.844921875	0.030000000000000027	1.8879558102266485
low	0.8546875	0.026666666666666727	1.9398891657341626
low	0.864453125	0.013333333333333308	2.227371488366429
low	0.87421875	0.013333333333333308	2.227371488366429
low	0.883984375	0.0033333333333332993	2.7321419372217384
low	0.89375	0.00666666666666671	2.4895647421707716
low	0.903515625	0.01666666666666672	2.1379265281322697
low	0.91328125	0.023333333333333317	1.997592229195553
low	0.923046875	0.013333333333333308	2.227371488366429
low	0.9328125	0.040000000000000036	1.756656458005156
low	0.971875	0.046666666666666745	1.6834417068750733
low	0.981640625	0.010000000000000009	2.33888392484682
low	0.99140625	0.0033333333333332993	2.7321419372217384
low	1.020703125	0.040000000000000036	1.756656458005156
