Condition	time point	p-value	t-value
correct	-0.08281250000000001	0.036666666666666736	1.797071423179137
correct	0.32734375	0.030000000000000027	1.8879558102266485
correct	0.649609375	0.046666666666666745	1.6834417068750733
correct	0.727734375	0.026666666666666727	1.9398891657341626
correct	0.766796875	0.00666666666666671	2.4895647421707716
correct	0.805859375	0.026666666666666727	1.9398891657341626
correct	0.815625	0.023333333333333317	1.997592229195553
correct	0.95234375	0.013333333333333308	2.227371488366429
correct	0.962109375	0.01666666666666672	2.1379265281322697
correct	1.020703125	0.0033333333333332993	2.7321419372217384
correct	1.059765625	0.033333333333333326	1.840629407786611
correct	1.0890625	0.026666666666666727	1.9398891657341626
