Condition	time point	p-value	t-value
low	-0.190234375	0.030000000000000027	1.8879558102266485
low	0.02460937499999999	0.010000000000000009	2.33888392484682
low	0.03437499999999999	0.0033333333333332993	2.7321419372217384
low	0.06367187499999999	0.0	inf
low	0.07343749999999999	0.026666666666666727	1.9398891657341626
low	0.17109375	0.01666666666666672	2.1379265281322697
low	0.180859375	0.0033333333333332993	2.7321419372217384
low	0.190625	0.013333333333333308	2.227371488366429
low	0.21015625	0.010000000000000009	2.33888392484682
low	0.219921875	0.0	inf
low	0.2296875	0.046666666666666745	1.6834417068750733
low	0.337109375	0.046666666666666745	1.6834417068750733
low	0.3859375	0.043333333333333335	1.718905160438891
low	0.395703125	0.010000000000000009	2.33888392484682
low	0.40546875	0.0033333333333332993	2.7321419372217384
low	0.415234375	0.043333333333333335	1.718905160438891
low	0.44453125	0.043333333333333335	1.718905160438891
low	0.454296875	0.01666666666666672	2.1379265281322697
low	0.48359375	0.020000000000000018	2.0627472420429416
low	0.493359375	0.0033333333333332993	2.7321419372217384
low	0.52265625	0.046666666666666745	1.6834417068750733
low	0.532421875	0.030000000000000027	1.8879558102266485
low	0.551953125	0.01666666666666672	2.1379265281322697
low	0.63984375	0.013333333333333308	2.227371488366429
low	0.649609375	0.010000000000000009	2.33888392484682
low	0.6984375	0.040000000000000036	1.756656458005156
low	0.79609375	0.010000000000000009	2.33888392484682
low	0.805859375	0.026666666666666727	1.9398891657341626
low	0.8546875	0.00666666666666671	2.4895647421707716
low	0.87421875	0.043333333333333335	1.718905160438891
low	0.883984375	0.036666666666666736	1.797071423179137
low	0.89375	0.013333333333333308	2.227371488366429
low	0.903515625	0.043333333333333335	1.718905160438891
low	0.923046875	0.0	inf
low	0.9328125	0.040000000000000036	1.756656458005156
low	0.962109375	0.0	inf
low	1.001171875	0.013333333333333308	2.227371488366429
low	1.0109375	0.043333333333333335	1.718905160438891
low	1.020703125	0.026666666666666727	1.9398891657341626
low	1.03046875	0.033333333333333326	1.840629407786611
low	1.040234375	0.043333333333333335	1.718905160438891
low	1.059765625	0.01666666666666672	2.1379265281322697
