Condition	time point	p-value	t-value
low	-0.10234375000000001	0.046666666666666745	1.6834417068750733
low	-0.06328125000000001	0.00666666666666671	2.4895647421707716
low	0.09296874999999999	0.030000000000000027	1.8879558102266485
low	0.141796875	0.020000000000000018	2.0627472420429416
low	0.24921875	0.020000000000000018	2.0627472420429416
low	0.32734375	0.036666666666666736	1.797071423179137
low	0.415234375	0.010000000000000009	2.33888392484682
low	0.48359375	0.01666666666666672	2.1379265281322697
low	0.493359375	0.026666666666666727	1.9398891657341626
low	0.571484375	0.020000000000000018	2.0627472420429416
low	0.591015625	0.023333333333333317	1.997592229195553
low	0.60078125	0.046666666666666745	1.6834417068750733
low	0.630078125	0.020000000000000018	2.0627472420429416
low	0.63984375	0.010000000000000009	2.33888392484682
low	0.67890625	0.020000000000000018	2.0627472420429416
low	0.688671875	0.046666666666666745	1.6834417068750733
low	0.727734375	0.046666666666666745	1.6834417068750733
low	0.747265625	0.033333333333333326	1.840629407786611
low	0.75703125	0.046666666666666745	1.6834417068750733
low	0.766796875	0.040000000000000036	1.756656458005156
low	0.79609375	0.020000000000000018	2.0627472420429416
low	0.805859375	0.013333333333333308	2.227371488366429
low	0.95234375	0.0033333333333332993	2.7321419372217384
low	0.962109375	0.0033333333333332993	2.7321419372217384
low	1.05	0.030000000000000027	1.8879558102266485
low	1.059765625	0.046666666666666745	1.6834417068750733
