Condition	time point	p-value	t-value
high	0.005078124999999989	0.030000000000000027	1.8879558102266485
high	0.44453125	0.036666666666666736	1.797071423179137
high	0.48359375	0.026666666666666727	1.9398891657341626
high	0.493359375	0.043333333333333335	1.718905160438891
high	0.52265625	0.013333333333333308	2.227371488366429
high	0.58125	0.036666666666666736	1.797071423179137
high	0.591015625	0.036666666666666736	1.797071423179137
high	0.610546875	0.020000000000000018	2.0627472420429416
high	0.6203125	0.030000000000000027	1.8879558102266485
high	0.630078125	0.0033333333333332993	2.7321419372217384
high	0.63984375	0.023333333333333317	1.997592229195553
high	0.659375	0.030000000000000027	1.8879558102266485
high	0.6984375	0.01666666666666672	2.1379265281322697
high	0.708203125	0.01666666666666672	2.1379265281322697
high	0.71796875	0.013333333333333308	2.227371488366429
high	0.7375	0.043333333333333335	1.718905160438891
high	0.747265625	0.030000000000000027	1.8879558102266485
high	0.766796875	0.043333333333333335	1.718905160438891
high	0.786328125	0.043333333333333335	1.718905160438891
high	0.825390625	0.00666666666666671	2.4895647421707716
high	0.83515625	0.020000000000000018	2.0627472420429416
high	0.8546875	0.01666666666666672	2.1379265281322697
high	0.864453125	0.013333333333333308	2.227371488366429
high	0.87421875	0.023333333333333317	1.997592229195553
high	0.883984375	0.023333333333333317	1.997592229195553
high	0.903515625	0.026666666666666727	1.9398891657341626
high	0.91328125	0.013333333333333308	2.227371488366429
high	0.923046875	0.0	inf
high	0.9328125	0.036666666666666736	1.797071423179137
high	0.962109375	0.00666666666666671	2.4895647421707716
high	0.971875	0.0	inf
high	0.981640625	0.0033333333333332993	2.7321419372217384
high	1.001171875	0.013333333333333308	2.227371488366429
high	1.0109375	0.0033333333333332993	2.7321419372217384
high	1.020703125	0.0	inf
high	1.03046875	0.010000000000000009	2.33888392484682
high	1.040234375	0.0033333333333332993	2.7321419372217384
high	1.059765625	0.030000000000000027	1.8879558102266485
high	1.06953125	0.00666666666666671	2.4895647421707716
high	1.079296875	0.030000000000000027	1.8879558102266485
