Condition	time point	p-value	t-value
correct	0.239453125	0.030000000000000027	1.8879558102266485
correct	0.24921875	0.01666666666666672	2.1379265281322697
correct	0.28828125	0.030000000000000027	1.8879558102266485
correct	0.395703125	0.033333333333333326	1.840629407786611
correct	0.40546875	0.0	inf
correct	0.434765625	0.010000000000000009	2.33888392484682
correct	0.48359375	0.046666666666666745	1.6834417068750733
correct	0.512890625	0.033333333333333326	1.840629407786611
correct	0.551953125	0.01666666666666672	2.1379265281322697
correct	0.56171875	0.020000000000000018	2.0627472420429416
correct	0.571484375	0.020000000000000018	2.0627472420429416
correct	0.610546875	0.020000000000000018	2.0627472420429416
correct	0.659375	0.046666666666666745	1.6834417068750733
correct	0.688671875	0.040000000000000036	1.756656458005156
correct	0.708203125	0.01666666666666672	2.1379265281322697
correct	0.71796875	0.043333333333333335	1.718905160438891
correct	0.766796875	0.013333333333333308	2.227371488366429
correct	0.79609375	0.0033333333333332993	2.7321419372217384
correct	0.805859375	0.013333333333333308	2.227371488366429
correct	0.815625	0.026666666666666727	1.9398891657341626
correct	0.8546875	0.00666666666666671	2.4895647421707716
correct	0.99140625	0.026666666666666727	1.9398891657341626
correct	1.001171875	0.00666666666666671	2.4895647421707716
correct	1.0109375	0.030000000000000027	1.8879558102266485
correct	1.059765625	0.013333333333333308	2.227371488366429
correct	1.06953125	0.020000000000000018	2.0627472420429416
