Condition	time point	p-value	t-value
correct	-0.02421875000000001	0.036666666666666736	1.797071423179137
correct	0.79609375	0.013333333333333308	2.227371488366429
correct	0.805859375	0.013333333333333308	2.227371488366429
correct	0.815625	0.010000000000000009	2.33888392484682
correct	0.87421875	0.026666666666666727	1.9398891657341626
correct	0.883984375	0.00666666666666671	2.4895647421707716
correct	0.89375	0.033333333333333326	1.840629407786611
correct	0.95234375	0.01666666666666672	2.1379265281322697
correct	0.99140625	0.010000000000000009	2.33888392484682
correct	1.001171875	0.026666666666666727	1.9398891657341626
