Condition	time point	p-value	t-value
correct	-0.11210937500000001	0.0	inf
correct	-0.10234375000000001	0.00666666666666671	2.4895647421707716
correct	0.04414062499999999	0.026666666666666727	1.9398891657341626
correct	0.05390624999999999	0.01666666666666672	2.1379265281322697
correct	0.06367187499999999	0.0033333333333332993	2.7321419372217384
correct	0.07343749999999999	0.040000000000000036	1.756656458005156
correct	0.11249999999999999	0.00666666666666671	2.4895647421707716
correct	0.12226562499999999	0.0033333333333332993	2.7321419372217384
correct	0.1515625	0.023333333333333317	1.997592229195553
correct	0.180859375	0.026666666666666727	1.9398891657341626
correct	0.190625	0.046666666666666745	1.6834417068750733
correct	1.06953125	0.036666666666666736	1.797071423179137
correct	1.0890625	0.036666666666666736	1.797071423179137
