Condition	time point	p-value	t-value
high	0.58125	0.013333333333333308	2.227371488366429
high	0.591015625	0.030000000000000027	1.8879558102266485
high	0.610546875	0.040000000000000036	1.756656458005156
high	0.6984375	0.023333333333333317	1.997592229195553
high	0.747265625	0.026666666666666727	1.9398891657341626
high	0.75703125	0.00666666666666671	2.4895647421707716
high	0.942578125	0.030000000000000027	1.8879558102266485
high	0.95234375	0.023333333333333317	1.997592229195553
high	0.962109375	0.036666666666666736	1.797071423179137
high	0.971875	0.00666666666666671	2.4895647421707716
high	0.981640625	0.020000000000000018	2.0627472420429416
high	1.059765625	0.046666666666666745	1.6834417068750733
