Condition	time point	p-value	t-value
low	0.200390625	0.043333333333333335	1.718905160438891
low	0.219921875	0.010000000000000009	2.33888392484682
low	0.278515625	0.033333333333333326	1.840629407786611
low	0.32734375	0.026666666666666727	1.9398891657341626
low	0.337109375	0.023333333333333317	1.997592229195553
low	0.44453125	0.043333333333333335	1.718905160438891
low	0.454296875	0.036666666666666736	1.797071423179137
low	0.659375	0.030000000000000027	1.8879558102266485
low	0.669140625	0.043333333333333335	1.718905160438891
low	0.688671875	0.043333333333333335	1.718905160438891
low	0.6984375	0.046666666666666745	1.6834417068750733
low	0.708203125	0.010000000000000009	2.33888392484682
low	0.71796875	0.01666666666666672	2.1379265281322697
low	0.727734375	0.01666666666666672	2.1379265281322697
low	0.7375	0.023333333333333317	1.997592229195553
low	0.75703125	0.026666666666666727	1.9398891657341626
low	0.766796875	0.036666666666666736	1.797071423179137
low	0.7765625	0.023333333333333317	1.997592229195553
low	0.786328125	0.040000000000000036	1.756656458005156
low	0.79609375	0.040000000000000036	1.756656458005156
low	0.805859375	0.023333333333333317	1.997592229195553
low	0.815625	0.040000000000000036	1.756656458005156
low	0.825390625	0.00666666666666671	2.4895647421707716
low	0.83515625	0.026666666666666727	1.9398891657341626
low	0.844921875	0.030000000000000027	1.8879558102266485
low	0.864453125	0.020000000000000018	2.0627472420429416
low	0.87421875	0.020000000000000018	2.0627472420429416
low	0.883984375	0.030000000000000027	1.8879558102266485
low	0.89375	0.040000000000000036	1.756656458005156
low	0.903515625	0.010000000000000009	2.33888392484682
low	0.91328125	0.040000000000000036	1.756656458005156
low	0.923046875	0.010000000000000009	2.33888392484682
low	0.9328125	0.040000000000000036	1.756656458005156
low	0.942578125	0.033333333333333326	1.840629407786611
low	0.962109375	0.036666666666666736	1.797071423179137
low	0.971875	0.046666666666666745	1.6834417068750733
low	0.981640625	0.026666666666666727	1.9398891657341626
low	0.99140625	0.01666666666666672	2.1379265281322697
low	1.001171875	0.013333333333333308	2.227371488366429
low	1.0109375	0.040000000000000036	1.756656458005156
low	1.020703125	0.0	inf
low	1.03046875	0.010000000000000009	2.33888392484682
low	1.05	0.040000000000000036	1.756656458005156
low	1.059765625	0.0	inf
low	1.06953125	0.01666666666666672	2.1379265281322697
low	1.079296875	0.036666666666666736	1.797071423179137
