Condition	time point	p-value	t-value
high	-0.131640625	0.030000000000000027	1.8879558102266485
high	-0.11210937500000001	0.020000000000000018	2.0627472420429416
high	0.014843749999999989	0.033333333333333326	1.840629407786611
high	0.02460937499999999	0.043333333333333335	1.718905160438891
high	0.03437499999999999	0.0033333333333332993	2.7321419372217384
high	0.04414062499999999	0.030000000000000027	1.8879558102266485
high	0.05390624999999999	0.0	inf
high	0.06367187499999999	0.0033333333333332993	2.7321419372217384
high	0.07343749999999999	0.026666666666666727	1.9398891657341626
high	0.08320312499999999	0.00666666666666671	2.4895647421707716
high	0.09296874999999999	0.0	inf
high	0.10273437499999999	0.0	inf
high	0.11249999999999999	0.036666666666666736	1.797071423179137
high	0.12226562499999999	0.046666666666666745	1.6834417068750733
high	0.13203125	0.020000000000000018	2.0627472420429416
high	0.141796875	0.0033333333333332993	2.7321419372217384
high	0.1515625	0.0033333333333332993	2.7321419372217384
high	0.161328125	0.01666666666666672	2.1379265281322697
