Condition	time point	p-value	t-value
high	-0.2	0.0033333333333332993	2.7321419372217384
high	-0.190234375	0.00666666666666671	2.4895647421707716
high	0.03437499999999999	0.0	inf
high	0.180859375	0.01666666666666672	2.1379265281322697
high	0.190625	0.043333333333333335	1.718905160438891
high	0.21015625	0.01666666666666672	2.1379265281322697
high	0.219921875	0.00666666666666671	2.4895647421707716
high	0.2296875	0.0	inf
high	0.239453125	0.01666666666666672	2.1379265281322697
high	0.454296875	0.023333333333333317	1.997592229195553
high	0.473828125	0.030000000000000027	1.8879558102266485
high	0.48359375	0.030000000000000027	1.8879558102266485
high	0.493359375	0.023333333333333317	1.997592229195553
high	0.52265625	0.013333333333333308	2.227371488366429
high	0.532421875	0.013333333333333308	2.227371488366429
high	0.56171875	0.033333333333333326	1.840629407786611
high	0.688671875	0.046666666666666745	1.6834417068750733
high	0.6984375	0.01666666666666672	2.1379265281322697
high	0.708203125	0.023333333333333317	1.997592229195553
high	0.71796875	0.01666666666666672	2.1379265281322697
high	0.727734375	0.040000000000000036	1.756656458005156
high	0.87421875	0.046666666666666745	1.6834417068750733
